,Government_Bonds,IG_Bonds,Equities,High_Yield_Bonds,Emerging_Markets
2026-02-08,0.3525558523193768,0.2110100949041162,0.2971845547470612,0.09301440383490721,0.04623509419453858
2026-02-09,0.354099562431244,0.20925507407272817,0.2977973351151122,0.09311732230015933,0.045730706080756266
2026-02-10,0.3532412243396326,0.20916999666950759,0.2992219457579478,0.09353571158561064,0.044831121647301325
2026-02-11,0.34940131428149795,0.20992997098213087,0.30030537266611396,0.09387556512521751,0.046487776945039715
2026-02-12,0.3487081540003208,0.21068962216457257,0.30085108780827274,0.09376430752449577,0.045986828502338144
2026-02-13,0.3513934174707706,0.20908501293774434,0.3001722492743424,0.09331971247914848,0.046029607837994195
2026-02-14,0.35789113733236183,0.20424897509379175,0.30085801451374344,0.09139768915390639,0.04560418390619657
2026-02-15,0.3616277281838768,0.20428991682021366,0.29748465357660636,0.09070394561947305,0.045893755799829926
2026-02-16,0.3595876286862342,0.2050745454738969,0.2981181103829694,0.09026379450487645,0.046955920952023104
2026-02-17,0.3624155406114303,0.20122707960845396,0.29912687685607736,0.08980256512711372,0.04742793779692483
2026-02-18,0.36004222208861053,0.2012748244535525,0.30105380855598923,0.09070542315194531,0.04692372174990239
2026-02-19,0.3596780738899489,0.20078797066602896,0.2997874232650918,0.0925225336730446,0.047223998505885774
2026-02-20,0.3537617934010456,0.20184200921781106,0.3049567142750021,0.09311383181300774,0.046325651293133534
2026-02-21,0.352239923916864,0.2045094481392264,0.30296318810187645,0.09357770141361713,0.04670973842841609
2026-02-22,0.35403123598668496,0.2073487433512179,0.29739215920649853,0.09396108884936691,0.04726677260623154
2026-02-23,0.3515963261172792,0.21192736518022334,0.2948015102027116,0.09407796505188912,0.0475968334478967
2026-02-24,0.3548901132644914,0.20784680144840573,0.29674760510691695,0.09361996180223468,0.046895518377951126
2026-02-25,0.3564737100719006,0.20822772619807384,0.29492047291905843,0.0936705731572447,0.04670751765372258
2026-02-26,0.35464528369477033,0.2082946739422902,0.2977224326197115,0.09193248816527602,0.04740512157795192
2026-02-27,0.34965495061065427,0.209133697437589,0.3011369220856231,0.09270279014111077,0.047371639725022806
2026-02-28,0.34982864695069066,0.20864039099092568,0.3001357191948822,0.09373171773083408,0.047663525132667375
2026-03-01,0.34690663970970287,0.2102148711583239,0.30062585897402805,0.09435788521650103,0.04789474494144424
